0,1,2,3
Shampoo,Soap,,
Soap,Toothpaste,Razors,Deodorant
Soap,Toothpaste,,
Soap,Razors,,
Deodorant,,,
Deodorant,Soap,Toothpaste,
Soap,Toothpaste,,
Deodorant,Shampoo,Soap,
Soap,Deodorant,,
Deodorant,Soap,Toothpaste,
Shampoo,Soap,Toothpaste,
Soap,,,
Deodorant,Razors,Soap,
Soap,Razors,Toothpaste,
Shampoo,Soap,,
Shampoo,Razors,,
Razors,Soap,,
Toothpaste,Soap,,
Toothpaste,Deodorant,Shampoo,
Soap,Toothpaste,Shampoo,
Soap,,,
Deodorant,,,
Toothpaste,Soap,Razors,
Razors,Shampoo,Soap,
Toothpaste,Shampoo,,
Toothpaste,Shampoo,,
Soap,Razors,,
Soap,Razors,,
Shampoo,,,
Shampoo,Razors,Deodorant,
Razors,Soap,Shampoo,
Razors,,,
Razors,Deodorant,Shampoo,
Razors,Deodorant,,
Soap,,,
Soap,Deodorant,,
Deodorant,Razors,,
Shampoo,,,
Deodorant,,,
Soap,Razors,,
Razors,,,
Toothpaste,,,
Razors,,,
Soap,Razors,,
Toothpaste,Razors,,
Deodorant,Shampoo,,
Shampoo,Soap,,
Shampoo,Razors,,
Toothpaste,,,
Soap,Shampoo,,
