0,1,2,3
Shoes,,,
Shoes,,,
Jeans,Hats,,
Hats,Bags,T-shirts,
T-shirts,Hats,,
Hats,Shoes,,
Jeans,Hats,,
Bags,T-shirts,Jeans,
Shoes,,,
T-shirts,,,
Hats,,,
Jeans,,,
Bags,Shoes,,
Bags,Shoes,,
Jeans,Bags,Shoes,
T-shirts,Hats,Jeans,
Bags,,,
T-shirts,Hats,Bags,Jeans
Jeans,Hats,T-shirts,
T-shirts,Jeans,Shoes,
Bags,T-shirts,Jeans,
Hats,Bags,,
Bags,Shoes,T-shirts,
Jeans,,,
T-shirts,Jeans,Bags,
T-shirts,,,
Jeans,Shoes,Bags,Hats
T-shirts,,,
Bags,,,
T-shirts,Bags,Jeans,
Shoes,,,
T-shirts,Shoes,,
Bags,Hats,,
T-shirts,Hats,Jeans,
T-shirts,Jeans,,
Bags,Jeans,,
Shoes,Bags,Jeans,
Shoes,Hats,Bags,
T-shirts,Shoes,,
Hats,T-shirts,,
Shoes,,,
Hats,Jeans,Shoes,
Jeans,Bags,,
Bags,,,
Jeans,,,
Shoes,Hats,,
Jeans,,,
Hats,Bags,Jeans,
Hats,,,
Hats,T-shirts,,
