0,1,2,3
Bananas,Lettuce,Apples,
Bananas,Oranges,Tomatoes,
Tomatoes,Apples,,
Lettuce,,,
Apples,Oranges,,
Tomatoes,,,
Oranges,,,
Apples,,,
Oranges,,,
Tomatoes,,,
Lettuce,Bananas,,
Apples,Bananas,Tomatoes,
Apples,Bananas,,
Tomatoes,Bananas,,
Tomatoes,,,
Bananas,Oranges,,
Bananas,Oranges,Apples,
Oranges,Bananas,,
Tomatoes,Apples,,
Bananas,Lettuce,Tomatoes,
Bananas,Apples,,
Apples,Tomatoes,Bananas,
Apples,Tomatoes,,
Bananas,Lettuce,Tomatoes,
Tomatoes,Apples,Bananas,
Lettuce,Tomatoes,,
Oranges,Tomatoes,,
Bananas,,,
Apples,Oranges,,
Oranges,Apples,,
Bananas,,,
Lettuce,,,
Oranges,,,
Oranges,Bananas,,
Lettuce,Apples,Bananas,
Apples,Bananas,,
Lettuce,Apples,,
Lettuce,,,
Apples,Bananas,,
Lettuce,Oranges,,
Lettuce,Oranges,Bananas,
Lettuce,Bananas,,
Tomatoes,Bananas,Apples,
Bananas,,,
Apples,,,
Apples,,,
Oranges,Tomatoes,,
Lettuce,Apples,Oranges,
Oranges,Tomatoes,Apples,Bananas
Apples,Bananas,,
