0,1,2,3
Milk,,,
Cheese,Coffee,,
Eggs,,,
Milk,,,
Bread,Cheese,Coffee,
Cheese,Eggs,Coffee,
Bread,Eggs,Milk,
Cheese,Eggs,Bread,
Milk,,,
Bread,Milk,Coffee,
Cheese,Coffee,Milk,
Cheese,Eggs,Milk,
Bread,,,
Milk,Cheese,Coffee,Eggs
Coffee,,,
Eggs,Milk,,
Bread,Milk,Coffee,Eggs
Eggs,Bread,,
Eggs,Bread,Coffee,
Cheese,Eggs,Milk,
Bread,Cheese,Coffee,
Eggs,Bread,,
Bread,Cheese,,
Milk,Bread,Cheese,
Bread,Milk,Coffee,
Eggs,Bread,Milk,Coffee
Milk,,,
Milk,Eggs,,
Cheese,Bread,,
Bread,Milk,Eggs,
Milk,,,
Coffee,Eggs,Milk,
Eggs,Bread,,
Eggs,,,
Eggs,Milk,,
Coffee,Cheese,,
Milk,Coffee,Bread,
Coffee,,,
Eggs,,,
Eggs,Coffee,,
Bread,Coffee,,
Eggs,,,
Coffee,,,
Milk,Eggs,Bread,
Bread,,,
Milk,Cheese,Eggs,
Milk,Bread,,
Bread,Eggs,Cheese,
Coffee,Milk,,
Bread,,,
